"SubsetID","lat","long","start.date","end.date","Status"
"Lat-27.46780Lon153.00670Start2013-01-01End2013-12-31",-27.4678,153.0067,2013,2013,"Successful download"
"Lat-27.56360Lon152.28000Start2013-01-01End2013-12-31",-27.5636,152.28,2013,2013,"Successful download"
"Lat-27.55980Lon151.95070Start2013-01-01End2013-12-31",-27.5598,151.9507,2013,2013,"Successful download"
